state0_sensors,state0_camera_c,state0_camera_l,state0_camera_r,action,time
"{'right': False, 'center': False, 'left': False}",images/img2.jpg,images/img1.jpg,images/img3.jpg,0,2018-04-12 11:14:30.484165
"{'right': False, 'center': False, 'left': False}",images/img5.jpg,images/img4.jpg,images/img6.jpg,0,2018-04-12 11:14:40.118986
"{'right': False, 'center': False, 'left': False}",images/img8.jpg,images/img7.jpg,images/img9.jpg,0,2018-04-12 11:14:41.929593
"{'right': False, 'center': False, 'left': False}",images/img11.jpg,images/img10.jpg,images/img12.jpg,0,2018-04-12 11:14:43.449943
"{'right': False, 'center': False, 'left': False}",images/img14.jpg,images/img13.jpg,images/img15.jpg,0,2018-04-12 11:14:43.956910
"{'right': False, 'center': False, 'left': False}",images/img17.jpg,images/img16.jpg,images/img18.jpg,0,2018-04-12 11:14:44.869755
"{'right': False, 'center': False, 'left': False}",images/img20.jpg,images/img19.jpg,images/img21.jpg,0,2018-04-12 11:15:01.952219
"{'right': False, 'center': False, 'left': False}",images/img23.jpg,images/img22.jpg,images/img24.jpg,0,2018-04-12 11:15:02.749523
"{'right': False, 'center': False, 'left': False}",images/img26.jpg,images/img25.jpg,images/img27.jpg,0,2018-04-12 11:15:03.156133
"{'right': False, 'center': False, 'left': False}",images/img29.jpg,images/img28.jpg,images/img30.jpg,0,2018-04-12 11:15:03.466951
"{'right': False, 'center': False, 'left': False}",images/img32.jpg,images/img31.jpg,images/img33.jpg,0,2018-04-12 11:15:03.676401
"{'right': False, 'center': False, 'left': False}",images/img35.jpg,images/img34.jpg,images/img36.jpg,0,2018-04-12 11:15:03.985634
"{'right': False, 'center': False, 'left': False}",images/img38.jpg,images/img37.jpg,images/img39.jpg,0,2018-04-12 11:15:04.696781
"{'right': False, 'center': False, 'left': False}",images/img41.jpg,images/img40.jpg,images/img42.jpg,0,2018-04-12 11:15:04.905468
"{'right': False, 'center': False, 'left': False}",images/img44.jpg,images/img43.jpg,images/img45.jpg,0,2018-04-12 11:15:05.551960
"{'right': False, 'center': False, 'left': False}",images/img47.jpg,images/img46.jpg,images/img48.jpg,0,2018-04-12 11:15:05.962716
"{'right': False, 'center': False, 'left': False}",images/img50.jpg,images/img49.jpg,images/img51.jpg,0,2018-04-12 11:15:06.272665
"{'right': False, 'center': False, 'left': False}",images/img53.jpg,images/img52.jpg,images/img54.jpg,0,2018-04-12 11:15:06.682656
"{'right': False, 'center': False, 'left': False}",images/img56.jpg,images/img55.jpg,images/img57.jpg,0,2018-04-12 11:15:07.193583
"{'right': False, 'center': False, 'left': False}",images/img59.jpg,images/img58.jpg,images/img60.jpg,0,2018-04-12 11:15:07.805965
"{'right': False, 'center': False, 'left': False}",images/img62.jpg,images/img61.jpg,images/img63.jpg,0,2018-04-12 11:15:08.318409
"{'right': False, 'center': False, 'left': False}",images/img65.jpg,images/img64.jpg,images/img66.jpg,0,2018-04-12 11:15:08.830350
"{'right': False, 'center': False, 'left': False}",images/img68.jpg,images/img67.jpg,images/img69.jpg,0,2018-04-12 11:15:09.239774
"{'right': False, 'center': False, 'left': False}",images/img71.jpg,images/img70.jpg,images/img72.jpg,0,2018-04-12 11:15:09.653901
"{'right': False, 'center': False, 'left': False}",images/img74.jpg,images/img73.jpg,images/img75.jpg,0,2018-04-12 11:15:10.266431
"{'right': False, 'center': False, 'left': False}",images/img77.jpg,images/img76.jpg,images/img78.jpg,0,2018-04-12 11:15:10.798905
"{'right': False, 'center': False, 'left': False}",images/img80.jpg,images/img79.jpg,images/img81.jpg,1,2018-04-12 11:15:11.311782
"{'right': False, 'center': False, 'left': False}",images/img83.jpg,images/img82.jpg,images/img84.jpg,2,2018-04-12 11:15:12.228008
"{'right': False, 'center': False, 'left': False}",images/img86.jpg,images/img85.jpg,images/img87.jpg,2,2018-04-12 11:15:12.634945
"{'right': False, 'center': False, 'left': False}",images/img89.jpg,images/img88.jpg,images/img90.jpg,2,2018-04-12 11:15:13.242616
"{'right': False, 'center': False, 'left': False}",images/img92.jpg,images/img91.jpg,images/img93.jpg,0,2018-04-12 11:15:13.752717
"{'right': False, 'center': False, 'left': False}",images/img95.jpg,images/img94.jpg,images/img96.jpg,2,2018-04-12 11:15:14.163668
"{'right': False, 'center': False, 'left': False}",images/img98.jpg,images/img97.jpg,images/img99.jpg,2,2018-04-12 11:15:14.680945
"{'right': False, 'center': False, 'left': False}",images/img101.jpg,images/img100.jpg,images/img102.jpg,0,2018-04-12 11:15:15.092361
"{'right': False, 'center': False, 'left': False}",images/img104.jpg,images/img103.jpg,images/img105.jpg,0,2018-04-12 11:15:15.604806
"{'right': False, 'center': False, 'left': False}",images/img107.jpg,images/img106.jpg,images/img108.jpg,0,2018-04-12 11:15:16.010914
"{'right': False, 'center': False, 'left': False}",images/img110.jpg,images/img109.jpg,images/img111.jpg,0,2018-04-12 11:15:16.420937
"{'right': False, 'center': False, 'left': False}",images/img113.jpg,images/img112.jpg,images/img114.jpg,2,2018-04-12 11:15:17.033310
"{'right': False, 'center': False, 'left': False}",images/img116.jpg,images/img115.jpg,images/img117.jpg,2,2018-04-12 11:15:17.444059
"{'right': False, 'center': False, 'left': False}",images/img119.jpg,images/img118.jpg,images/img120.jpg,2,2018-04-12 11:15:17.955046
"{'right': False, 'center': False, 'left': False}",images/img122.jpg,images/img121.jpg,images/img123.jpg,2,2018-04-12 11:15:18.369257
"{'right': False, 'center': False, 'left': False}",images/img125.jpg,images/img124.jpg,images/img126.jpg,2,2018-04-12 11:15:18.781469
"{'right': False, 'center': False, 'left': False}",images/img128.jpg,images/img127.jpg,images/img129.jpg,2,2018-04-12 11:15:19.344813
"{'right': False, 'center': False, 'left': False}",images/img131.jpg,images/img130.jpg,images/img132.jpg,0,2018-04-12 11:15:19.865077
"{'right': False, 'center': False, 'left': False}",images/img134.jpg,images/img133.jpg,images/img135.jpg,0,2018-04-12 11:15:20.178195
"{'right': False, 'center': False, 'left': False}",images/img137.jpg,images/img136.jpg,images/img138.jpg,2,2018-04-12 11:15:20.691018
"{'right': False, 'center': False, 'left': False}",images/img140.jpg,images/img139.jpg,images/img141.jpg,2,2018-04-12 11:15:21.107021
"{'right': False, 'center': False, 'left': False}",images/img143.jpg,images/img142.jpg,images/img144.jpg,2,2018-04-12 11:15:21.427696
"{'right': False, 'center': False, 'left': False}",images/img146.jpg,images/img145.jpg,images/img147.jpg,0,2018-04-12 11:15:21.940092
"{'right': False, 'center': False, 'left': False}",images/img149.jpg,images/img148.jpg,images/img150.jpg,0,2018-04-12 11:15:22.358015
"{'right': False, 'center': False, 'left': False}",images/img152.jpg,images/img151.jpg,images/img153.jpg,2,2018-04-12 11:15:22.872866
"{'right': False, 'center': False, 'left': False}",images/img155.jpg,images/img154.jpg,images/img156.jpg,0,2018-04-12 11:15:23.745235
"{'right': False, 'center': False, 'left': False}",images/img158.jpg,images/img157.jpg,images/img159.jpg,0,2018-04-12 11:15:24.559165
"{'right': False, 'center': False, 'left': False}",images/img161.jpg,images/img160.jpg,images/img162.jpg,0,2018-04-12 11:15:25.368552
"{'right': False, 'center': False, 'left': False}",images/img164.jpg,images/img163.jpg,images/img165.jpg,2,2018-04-12 11:15:25.900671
"{'right': False, 'center': False, 'left': False}",images/img167.jpg,images/img166.jpg,images/img168.jpg,2,2018-04-12 11:15:26.314991
"{'right': False, 'center': False, 'left': False}",images/img170.jpg,images/img169.jpg,images/img171.jpg,2,2018-04-12 11:15:26.832616
"{'right': False, 'center': False, 'left': False}",images/img173.jpg,images/img172.jpg,images/img174.jpg,0,2018-04-12 11:15:27.644876
"{'right': False, 'center': False, 'left': False}",images/img176.jpg,images/img175.jpg,images/img177.jpg,0,2018-04-12 11:15:28.057843
"{'right': False, 'center': False, 'left': False}",images/img179.jpg,images/img178.jpg,images/img180.jpg,2,2018-04-12 11:15:28.378757
"{'right': False, 'center': False, 'left': False}",images/img182.jpg,images/img181.jpg,images/img183.jpg,2,2018-04-12 11:15:28.786715
"{'right': False, 'center': False, 'left': False}",images/img185.jpg,images/img184.jpg,images/img186.jpg,2,2018-04-12 11:15:29.199183
"{'right': False, 'center': False, 'left': False}",images/img188.jpg,images/img187.jpg,images/img189.jpg,0,2018-04-12 11:15:29.611132
"{'right': False, 'center': False, 'left': False}",images/img191.jpg,images/img190.jpg,images/img192.jpg,2,2018-04-12 11:15:30.242970
"{'right': False, 'center': False, 'left': False}",images/img194.jpg,images/img193.jpg,images/img195.jpg,2,2018-04-12 11:15:30.650443
"{'right': False, 'center': False, 'left': False}",images/img197.jpg,images/img196.jpg,images/img198.jpg,0,2018-04-12 11:15:31.064217
"{'right': False, 'center': False, 'left': False}",images/img200.jpg,images/img199.jpg,images/img201.jpg,2,2018-04-12 11:15:31.376738
"{'right': False, 'center': False, 'left': False}",images/img203.jpg,images/img202.jpg,images/img204.jpg,2,2018-04-12 11:15:31.893402
"{'right': False, 'center': False, 'left': False}",images/img206.jpg,images/img205.jpg,images/img207.jpg,0,2018-04-12 11:15:32.507221
"{'right': False, 'center': False, 'left': False}",images/img209.jpg,images/img208.jpg,images/img210.jpg,0,2018-04-12 11:15:32.921535
"{'right': False, 'center': False, 'left': False}",images/img212.jpg,images/img211.jpg,images/img213.jpg,2,2018-04-12 11:15:33.233772
"{'right': False, 'center': False, 'left': False}",images/img215.jpg,images/img214.jpg,images/img216.jpg,2,2018-04-12 11:15:33.547351
"{'right': False, 'center': False, 'left': False}",images/img218.jpg,images/img217.jpg,images/img219.jpg,2,2018-04-12 11:15:33.963383
"{'right': False, 'center': False, 'left': False}",images/img221.jpg,images/img220.jpg,images/img222.jpg,2,2018-04-12 11:15:34.487212
"{'right': False, 'center': False, 'left': False}",images/img224.jpg,images/img223.jpg,images/img225.jpg,0,2018-04-12 11:15:34.998357
"{'right': False, 'center': False, 'left': False}",images/img227.jpg,images/img226.jpg,images/img228.jpg,2,2018-04-12 11:15:35.411243
"{'right': False, 'center': False, 'left': False}",images/img230.jpg,images/img229.jpg,images/img231.jpg,0,2018-04-12 11:15:35.831313
"{'right': False, 'center': False, 'left': False}",images/img233.jpg,images/img232.jpg,images/img234.jpg,0,2018-04-12 11:15:36.243393
"{'right': False, 'center': False, 'left': False}",images/img236.jpg,images/img235.jpg,images/img237.jpg,2,2018-04-12 11:15:36.583977
"{'right': False, 'center': False, 'left': False}",images/img239.jpg,images/img238.jpg,images/img240.jpg,2,2018-04-12 11:15:36.995760
"{'right': False, 'center': False, 'left': False}",images/img242.jpg,images/img241.jpg,images/img243.jpg,2,2018-04-12 11:15:37.403535
"{'right': False, 'center': False, 'left': False}",images/img245.jpg,images/img244.jpg,images/img246.jpg,2,2018-04-12 11:15:37.811749
"{'right': False, 'center': False, 'left': False}",images/img248.jpg,images/img247.jpg,images/img249.jpg,0,2018-04-12 11:15:38.224142
"{'right': False, 'center': False, 'left': False}",images/img251.jpg,images/img250.jpg,images/img252.jpg,2,2018-04-12 11:15:38.636787
"{'right': False, 'center': False, 'left': False}",images/img254.jpg,images/img253.jpg,images/img255.jpg,0,2018-04-12 11:15:41.263886
"{'right': False, 'center': False, 'left': False}",images/img257.jpg,images/img256.jpg,images/img258.jpg,2,2018-04-12 11:15:41.679010
"{'right': False, 'center': False, 'left': False}",images/img260.jpg,images/img259.jpg,images/img261.jpg,0,2018-04-12 11:15:42.093077
"{'right': False, 'center': False, 'left': False}",images/img263.jpg,images/img262.jpg,images/img264.jpg,2,2018-04-12 11:15:42.506624
"{'right': False, 'center': False, 'left': False}",images/img266.jpg,images/img265.jpg,images/img267.jpg,0,2018-04-12 11:15:42.919104
"{'right': False, 'center': False, 'left': False}",images/img269.jpg,images/img268.jpg,images/img270.jpg,0,2018-04-12 11:15:43.423958
"{'right': False, 'center': False, 'left': False}",images/img272.jpg,images/img271.jpg,images/img273.jpg,0,2018-04-12 11:15:43.713272
"{'right': False, 'center': False, 'left': False}",images/img275.jpg,images/img274.jpg,images/img276.jpg,0,2018-04-12 11:15:44.126444
"{'right': False, 'center': False, 'left': False}",images/img278.jpg,images/img277.jpg,images/img279.jpg,0,2018-04-12 11:15:44.343822
"{'right': False, 'center': False, 'left': False}",images/img281.jpg,images/img280.jpg,images/img282.jpg,0,2018-04-12 11:15:44.552574
"{'right': False, 'center': False, 'left': False}",images/img284.jpg,images/img283.jpg,images/img285.jpg,0,2018-04-12 11:15:44.766860
"{'right': False, 'center': False, 'left': False}",images/img287.jpg,images/img286.jpg,images/img288.jpg,0,2018-04-12 11:15:44.977282
"{'right': False, 'center': False, 'left': False}",images/img290.jpg,images/img289.jpg,images/img291.jpg,0,2018-04-12 11:15:45.287993
"{'right': False, 'center': False, 'left': False}",images/img293.jpg,images/img292.jpg,images/img294.jpg,0,2018-04-12 11:15:45.801832
"{'right': False, 'center': False, 'left': False}",images/img296.jpg,images/img295.jpg,images/img297.jpg,2,2018-04-12 11:15:46.313791
"{'right': False, 'center': False, 'left': False}",images/img299.jpg,images/img298.jpg,images/img300.jpg,0,2018-04-12 11:15:46.925967
"{'right': False, 'center': False, 'left': False}",images/img302.jpg,images/img301.jpg,images/img303.jpg,0,2018-04-12 11:15:47.337312
"{'right': False, 'center': False, 'left': False}",images/img305.jpg,images/img304.jpg,images/img306.jpg,0,2018-04-12 11:15:47.647531
"{'right': False, 'center': False, 'left': False}",images/img308.jpg,images/img307.jpg,images/img309.jpg,0,2018-04-12 11:15:47.973409
"{'right': False, 'center': False, 'left': False}",images/img311.jpg,images/img310.jpg,images/img312.jpg,2,2018-04-12 11:15:48.380198
"{'right': False, 'center': False, 'left': False}",images/img314.jpg,images/img313.jpg,images/img315.jpg,2,2018-04-12 11:15:48.789674
"{'right': False, 'center': False, 'left': False}",images/img317.jpg,images/img316.jpg,images/img318.jpg,2,2018-04-12 11:15:49.202622
